minute,second,period,type,outcomeType,prog_pass,prog_carry,xT
0,52,FirstHalf,TakeOn,Unsuccessful,0,0,
0,52,FirstHalf,BallTouch,Successful,0,0,
0,56,FirstHalf,Pass,Successful,-8.017337799158184,0,-0.0065646099999999985
1,26.5,FirstHalf,Carry,Successful,0,1.6794230128352083,-0.005318000000000003
1,29,FirstHalf,Pass,Unsuccessful,21.662911544359503,0,
6,8,FirstHalf,Carry,Successful,0,-1.6774631276453125,0
6,10,FirstHalf,SavedShot,Successful,0,0,
6,11,FirstHalf,CornerAwarded,Successful,0,0,
7,42,FirstHalf,Carry,Successful,0,3.477844404328934,0
7,45,FirstHalf,Pass,Successful,1.56614864687716,0,0.0012528699999999997
7,57,FirstHalf,Pass,Successful,13.738479101513558,0,0.018914089999999998
15,31,FirstHalf,BallRecovery,Successful,0,0,
15,35,FirstHalf,Pass,Successful,15.338430403719386,0,0.0016276599999999995
20,31,FirstHalf,Pass,Successful,-8.681228997970393,0,-0.0065646099999999985
25,40,FirstHalf,Pass,Successful,-19.702347898844607,0,-0.0050135100000000005
30,6,FirstHalf,Dispossessed,Successful,0,0,
30,16,FirstHalf,Pass,Successful,-12.035785066080152,0,-0.00198043
30,33,FirstHalf,Pass,Successful,0.2570542461141514,0,-0.00006527999999999916
31,2,FirstHalf,Pass,Successful,5.057659087808055,0,0.001382170000000002
32,10,FirstHalf,Pass,Successful,8.899713570910187,0,0.0039675100000000005
32,48,FirstHalf,TakeOn,Successful,0,0,
32,49,FirstHalf,GoodSkill,Successful,0,0,
32,50,FirstHalf,SavedShot,Successful,0,0,
32,51,FirstHalf,OffsidePass,Successful,0,0,
33,35,FirstHalf,Pass,Successful,-12.687376617571985,0,-0.0026039999999999987
34,49,FirstHalf,Pass,Successful,16.752640629586427,0,0.030788980000000004
36,1,FirstHalf,Carry,Successful,0,25.40982746837533,0.035560060000000004
36,3,FirstHalf,SavedShot,Successful,0,0,
36,4,FirstHalf,BallTouch,Successful,0,0,
36,9,FirstHalf,Pass,Successful,1.5070187804724569,0,0
39,0,FirstHalf,Carry,Successful,0,30.710904675390207,0.02318994
39,3,FirstHalf,TakeOn,Successful,0,0,
39,6,FirstHalf,Pass,Unsuccessful,19.19232264737759,0,
41,8.5,FirstHalf,Carry,Successful,0,11.127497361151114,0.00580729
41,11,FirstHalf,Pass,Unsuccessful,-9.183365962475822,0,
44,21,FirstHalf,Pass,Successful,-4.869799225572265,0,-0.0014290699999999993
44,25.5,FirstHalf,Carry,Successful,0,-0.8738996337463334,0
44,27,FirstHalf,Pass,Successful,5.854909851761114,0,0.0005445499999999995
44,31,FirstHalf,Pass,Successful,-3.805668775425758,0,-0.0015522899999999996
44,32,FirstHalf,Pass,Successful,-1.124417073000842,0,0.00050972
45,0,SecondHalf,SubstitutionOff,Successful,0,0,
45,7.5,FirstHalf,Carry,Successful,0,3.5985287052142283,0
45,9,FirstHalf,Pass,Unsuccessful,12.371905808223211,0,
45,36,FirstHalf,Pass,Successful,-9.94492688133979,0,-0.01070716
45,42,FirstHalf,Pass,Successful,-6.623697936911398,0,-0.00377069
