player,team,minute,second,event,raw_event,period,x,y,endX,endY,outcome
,Brighton,0,0,Start,Start,FirstHalf,0.0,0.0,0.0,0.0,Successful
,Chelsea,0,0,Start,Start,FirstHalf,0.0,0.0,0.0,0.0,Successful
Malick Yalcouyé,Brighton,0,0,Pass,Pass,FirstHalf,49.8,50.1,24.7,51.4,Successful
Bart Verbruggen,Brighton,0,3,Long Pass,Pass,FirstHalf,25.6,44.8,68.2,6.6,Unsuccessful
Levi Colwill,Chelsea,0,8,Aerial Won,Aerial,FirstHalf,31.8,93.4,0.0,0.0,Successful
Diego Gómez,Brighton,0,8,Aerial Lost,Aerial,FirstHalf,68.2,6.6,0.0,0.0,Unsuccessful
Levi Colwill,Chelsea,0,8,Pass,Pass,FirstHalf,31.8,93.4,36.3,70.5,Unsuccessful
Olivier Boscagli,Brighton,0,9,Pass,Pass,FirstHalf,62.3,27.8,68.5,31.9,Unsuccessful
Malo Gusto,Chelsea,0,10,Long Pass,Pass,FirstHalf,31.5,68.9,69.9,65.6,Unsuccessful
Lewis Dunk,Brighton,0,13,Pass,Pass,FirstHalf,30.5,31.5,8.3,45.2,Successful
Bart Verbruggen,Brighton,0,19,Pass,Pass,FirstHalf,12.7,48.3,14.9,65.4,Successful
Lewis Dunk,Brighton,0,25,Pass,Pass,FirstHalf,15.8,62.8,8.8,42.5,Successful
Bart Verbruggen,Brighton,0,28,Pass,Pass,FirstHalf,8.2,38.1,8.1,14.8,Successful
Luka Vuskovic,Brighton,0,31,Long Pass,Pass,FirstHalf,9.0,15.6,17.6,75.7,Successful
Lewis Dunk,Brighton,0,35,Pass,Pass,FirstHalf,26.0,82.5,38.3,96.3,Successful
Ferdi Kadioglu,Brighton,0,39,Pass,Pass,FirstHalf,37.6,96.7,43.0,72.2,Successful
Charalampos Kostoulas,Brighton,0,41,Pass,Pass,FirstHalf,41.6,67.9,35.8,55.4,Unsuccessful
Morgan Rogers,Chelsea,0,42,Ball Recovery,BallRecovery,FirstHalf,64.7,46.6,0.0,0.0,Successful
Morgan Rogers,Chelsea,0,43,Pass,Pass,FirstHalf,67.8,48.9,70.5,46.8,Unsuccessful
Charalampos Kostoulas,Brighton,0,45,BallTouch,BallTouch,FirstHalf,29.6,53.8,0.0,0.0,Successful
Bart Verbruggen,Brighton,0,46,KeeperPickup,KeeperPickup,FirstHalf,3.3,74.1,0.0,0.0,Successful
Bart Verbruggen,Brighton,1,4,Pass,Pass,FirstHalf,9.6,46.8,22.1,9.7,Successful
Mats Wieffer,Brighton,1,6,Pass,Pass,FirstHalf,22.9,8.5,9.6,23.1,Successful
Luka Vuskovic,Brighton,1,9,Pass,Pass,FirstHalf,8.7,25.3,7.9,54.4,Successful
Bart Verbruggen,Brighton,1,11,Pass,Pass,FirstHalf,7.8,56.5,14.2,96.7,Successful
Lewis Dunk,Brighton,1,16,Long Pass,Pass,FirstHalf,11.2,88.2,21.9,29.2,Successful
Mats Wieffer,Brighton,1,19,Chipped Pass,Pass,FirstHalf,25.9,27.8,31.8,8.2,Successful
João Pedro,Chelsea,1,24,Challenge,Challenge,FirstHalf,67.8,62.9,0.0,0.0,Unsuccessful
Diego Gómez,Brighton,1,24,Successful Dribble,TakeOn,FirstHalf,32.2,37.1,0.0,0.0,Successful
Diego Gómez,Brighton,1,26,Long Pass,Pass,FirstHalf,32.2,43.8,93.2,13.7,Successful
Pascal Groß,Brighton,1,33,Pass,Pass,FirstHalf,92.3,13.0,82.4,13.2,Successful
Mats Wieffer,Brighton,1,34,Cross,Pass,FirstHalf,81.8,13.1,88.5,39.5,Unsuccessful
Malo Gusto,Chelsea,1,36,Clearance,Clearance,FirstHalf,12.1,59.9,21.1,100.0,Successful
Mats Wieffer,Brighton,1,42,Throw In,Pass,FirstHalf,82.8,0.0,64.8,5.2,Successful
Luka Vuskovic,Brighton,1,50,Pass,Pass,FirstHalf,64.7,15.0,53.4,55.8,Successful
Lewis Dunk,Brighton,1,52,Pass,Pass,FirstHalf,54.4,58.7,59.1,77.5,Successful
Ferdi Kadioglu,Brighton,1,54,Pass,Pass,FirstHalf,62.4,82.0,73.8,95.7,Successful
Maxim De Cuyper,Brighton,1,59,Pass,Pass,FirstHalf,71.8,94.4,54.1,65.8,Successful
Lewis Dunk,Brighton,2,1,Pass,Pass,FirstHalf,53.8,65.0,53.3,48.1,Successful
Luka Vuskovic,Brighton,2,3,Pass,Pass,FirstHalf,53.9,48.1,52.3,64.8,Successful
Lewis Dunk,Brighton,2,5,Pass,Pass,FirstHalf,52.5,63.1,63.4,65.1,Successful
Olivier Boscagli,Brighton,2,6,Pass,Pass,FirstHalf,61.5,64.8,62.4,83.8,Successful
Ferdi Kadioglu,Brighton,2,8,Pass,Pass,FirstHalf,67.1,82.4,74.1,96.9,Successful
Maxim De Cuyper,Brighton,2,12,Pass,Pass,FirstHalf,70.6,91.5,68.4,79.8,Successful
Olivier Boscagli,Brighton,2,13,Pass,Pass,FirstHalf,68.4,79.8,69.1,82.6,Unsuccessful
Roméo Lavia,Chelsea,2,13,BlockedPass,BlockedPass,FirstHalf,30.9,17.4,0.0,0.0,Successful
