player,team,minute,second,event,raw_event,period,x,y,endX,endY,outcome
,Espanyol,0,0,Start,Start,FirstHalf,0.0,0.0,0.0,0.0,Successful
,Real Madrid,0,0,Start,Start,FirstHalf,0.0,0.0,0.0,0.0,Successful
Roberto Fernández,Espanyol,0,0,Pass,Pass,FirstHalf,50.2,49.7,37.6,56.5,Successful
Edu Expósito,Espanyol,0,2,Pass,Pass,FirstHalf,37.8,56.5,44.3,19.2,Successful
Omar El Hilali,Espanyol,0,5,Pass,Pass,FirstHalf,45.0,15.4,27.7,33.3,Successful
Clemens Riedel,Espanyol,0,8,Pass,Pass,FirstHalf,28.7,35.3,27.3,56.2,Successful
Unai Núñez,Espanyol,0,10,Pass,Pass,FirstHalf,26.0,59.6,28.3,76.4,Successful
Roger Hinojo,Espanyol,0,13,Unsuccessful Dribble,TakeOn,FirstHalf,25.4,81.2,0.0,0.0,Unsuccessful
Arda Güler,Real Madrid,0,13,Successful Tackle,Tackle,FirstHalf,74.6,18.8,0.0,0.0,Successful
Arda Güler,Real Madrid,0,14,Ball Recovery,BallRecovery,FirstHalf,86.1,17.5,0.0,0.0,Successful
Arda Güler,Real Madrid,0,17,Pass,Pass,FirstHalf,84.0,10.3,96.7,17.2,Successful
Kylian Mbappé,Real Madrid,0,19,Pass,Pass,FirstHalf,96.6,15.4,85.1,5.4,Successful
Arda Güler,Real Madrid,0,21,Pass,Pass,FirstHalf,85.2,4.5,80.6,4.5,Unsuccessful
Tyrhys Dolan,Espanyol,0,23,Interception,Interception,FirstHalf,19.4,95.5,0.0,0.0,Successful
Denzel Dumfries,Real Madrid,0,34,Throw In,Pass,FirstHalf,80.1,0.0,71.7,7.8,Successful
Arda Güler,Real Madrid,0,35,Pass,Pass,FirstHalf,71.7,7.8,68.3,22.6,Successful
Bernardo Silva,Real Madrid,0,36,Pass,Pass,FirstHalf,68.3,22.6,62.6,39.0,Successful
Jude Bellingham,Real Madrid,0,38,Pass,Pass,FirstHalf,63.7,39.6,52.1,61.6,Successful
Dean Huijsen,Real Madrid,0,41,Pass,Pass,FirstHalf,52.0,62.1,64.1,56.7,Successful
Federico Valverde,Real Madrid,0,42,Pass,Pass,FirstHalf,64.1,56.7,52.6,29.4,Successful
Ibrahima Konaté,Real Madrid,0,47,Pass,Pass,FirstHalf,55.0,25.0,69.5,21.7,Successful
Arda Güler,Real Madrid,0,49,Pass,Pass,FirstHalf,66.5,16.2,45.5,17.8,Successful
Ibrahima Konaté,Real Madrid,0,57,Pass,Pass,FirstHalf,45.0,26.4,39.8,58.0,Successful
Dean Huijsen,Real Madrid,1,1,Pass,Pass,FirstHalf,43.6,55.8,43.1,95.1,Successful
Álvaro Carreras,Real Madrid,1,4,Pass,Pass,FirstHalf,42.5,93.7,34.4,67.9,Successful
Dean Huijsen,Real Madrid,1,7,Pass,Pass,FirstHalf,34.4,67.9,12.1,47.8,Successful
Thibaut Courtois,Real Madrid,1,9,Long Pass,Pass,FirstHalf,12.1,47.8,45.3,32.4,Successful
Arda Güler,Real Madrid,1,13,Aerial Won,Aerial,FirstHalf,45.3,32.4,0.0,0.0,Successful
Edu Expósito,Espanyol,1,13,Aerial Lost,Aerial,FirstHalf,54.7,67.6,0.0,0.0,Unsuccessful
Arda Güler,Real Madrid,1,14,Pass,Pass,FirstHalf,45.3,32.4,63.1,38.7,Unsuccessful
Unai Núñez,Espanyol,1,15,Ball Recovery,BallRecovery,FirstHalf,43.2,59.2,0.0,0.0,Successful
Unai Núñez,Espanyol,1,16,Pass,Pass,FirstHalf,43.4,55.9,32.0,40.4,Successful
Clemens Riedel,Espanyol,1,18,Pass,Pass,FirstHalf,32.6,40.9,12.2,46.2,Successful
Marko Dmitrovic,Espanyol,1,27,Pass,Pass,FirstHalf,11.5,43.6,24.6,26.7,Successful
Clemens Riedel,Espanyol,1,30,Pass,Pass,FirstHalf,27.6,36.7,35.1,76.7,Successful
Roger Hinojo,Espanyol,1,35,Pass,Pass,FirstHalf,36.5,88.5,44.7,85.6,Successful
Javi Hernández,Espanyol,1,37,Pass,Pass,FirstHalf,46.8,87.7,39.6,96.1,Successful
Roger Hinojo,Espanyol,1,43,Pass,Pass,FirstHalf,28.8,77.0,21.3,44.8,Successful
Clemens Riedel,Espanyol,1,44,Pass,Pass,FirstHalf,18.3,46.1,6.5,52.0,Successful
Marko Dmitrovic,Espanyol,1,46,Long Pass,Pass,FirstHalf,7.4,53.2,47.0,72.6,Unsuccessful
Denzel Dumfries,Real Madrid,1,51,Pass,Pass,FirstHalf,52.5,11.8,59.9,41.2,Unsuccessful
Cala,Espanyol,1,53,Pass,Pass,FirstHalf,39.2,56.2,60.1,61.8,Successful
Javi Hernández,Espanyol,1,55,Loss of Possession,Dispossessed,FirstHalf,60.3,62.8,0.0,0.0,Successful
Federico Valverde,Real Madrid,1,55,Successful Tackle,Tackle,FirstHalf,39.7,37.2,0.0,0.0,Successful
Ibrahima Konaté,Real Madrid,1,57,Ball Recovery,BallRecovery,FirstHalf,33.9,38.7,0.0,0.0,Successful
Ibrahima Konaté,Real Madrid,1,57,Pass,Pass,FirstHalf,33.9,38.7,4.8,50.2,Successful
Thibaut Courtois,Real Madrid,2,0,Long Pass,Pass,FirstHalf,4.8,50.2,54.5,52.3,Unsuccessful
Urko González de Zárate,Espanyol,2,5,BallTouch,BallTouch,FirstHalf,38.1,55.8,0.0,0.0,Unsuccessful
Urko González de Zárate,Espanyol,2,5,Challenge,Challenge,FirstHalf,40.6,48.3,0.0,0.0,Unsuccessful
Jude Bellingham,Real Madrid,2,5,Successful Dribble,TakeOn,FirstHalf,59.4,51.7,0.0,0.0,Successful
Jude Bellingham,Real Madrid,2,8,Pass,Pass,FirstHalf,64.0,80.1,60.9,94.6,Successful
Vinícius Júnior,Real Madrid,2,10,Pass,Pass,FirstHalf,60.9,94.6,45.0,91.8,Successful
Álvaro Carreras,Real Madrid,2,14,Pass,Pass,FirstHalf,45.1,88.5,59.0,78.7,Successful
Kylian Mbappé,Real Madrid,2,15,Pass,Pass,FirstHalf,59.0,78.7,63.9,85.0,Successful
Jude Bellingham,Real Madrid,2,17,Loss of Possession,Dispossessed,FirstHalf,64.7,84.4,0.0,0.0,Successful
Clemens Riedel,Espanyol,2,17,Successful Tackle,Tackle,FirstHalf,35.2,15.7,0.0,0.0,Successful
Álvaro Carreras,Real Madrid,2,36,Throw In,Pass,FirstHalf,62.1,100.0,64.4,90.4,Successful
Bernardo Silva,Real Madrid,2,36,Pass,Pass,FirstHalf,64.4,90.4,67.9,97.2,Successful
Vinícius Júnior,Real Madrid,2,41,Foul,Foul,FirstHalf,46.0,88.8,0.0,0.0,Successful
Cala,Espanyol,2,41,Foul,Foul,FirstHalf,54.0,11.1,0.0,0.0,Unsuccessful
Federico Valverde,Real Madrid,3,17,Pass,Pass,FirstHalf,48.2,95.4,46.8,84.6,Successful
Bernardo Silva,Real Madrid,3,18,Pass,Pass,FirstHalf,46.8,84.6,45.3,94.6,Successful
Federico Valverde,Real Madrid,3,19,Pass,Pass,FirstHalf,45.3,94.6,63.0,95.2,Successful
Álvaro Carreras,Real Madrid,3,21,Pass,Pass,FirstHalf,65.8,90.4,64.8,64.2,Successful
Kylian Mbappé,Real Madrid,3,24,Pass,Pass,FirstHalf,64.8,64.2,62.6,39.9,Successful
Arda Güler,Real Madrid,3,26,Pass,Pass,FirstHalf,63.7,39.4,66.0,7.3,Successful
Denzel Dumfries,Real Madrid,3,28,Pass,Pass,FirstHalf,66.0,7.3,63.0,25.6,Successful
Arda Güler,Real Madrid,3,31,Pass,Pass,FirstHalf,61.3,26.4,41.9,35.1,Successful
Ibrahima Konaté,Real Madrid,3,34,Pass,Pass,FirstHalf,46.5,30.7,47.5,40.9,Successful
Bernardo Silva,Real Madrid,3,40,Pass,Pass,FirstHalf,46.7,45.1,43.8,18.4,Successful
Ibrahima Konaté,Real Madrid,3,42,Pass,Pass,FirstHalf,43.7,22.3,66.8,21.1,Successful
Denzel Dumfries,Real Madrid,3,46,BallTouch,BallTouch,FirstHalf,66.8,21.1,0.0,0.0,Unsuccessful
Edu Expósito,Espanyol,3,46,Unsuccessful Dribble,TakeOn,FirstHalf,38.2,73.9,0.0,0.0,Unsuccessful
Denzel Dumfries,Real Madrid,3,46,Was Dribbled,Tackle,FirstHalf,61.8,26.1,0.0,0.0,Unsuccessful
Javi Hernández,Espanyol,3,49,Ball Recovery,BallRecovery,FirstHalf,46.9,73.8,0.0,0.0,Successful
Javi Hernández,Espanyol,3,51,Pass,Pass,FirstHalf,61.1,78.7,68.0,89.6,Successful
Tyrhys Dolan,Espanyol,3,58,Unsuccessful Dribble,TakeOn,FirstHalf,74.9,92.8,0.0,0.0,Unsuccessful
Denzel Dumfries,Real Madrid,3,58,Successful Tackle,Tackle,FirstHalf,25.1,7.2,0.0,0.0,Successful
Denzel Dumfries,Real Madrid,3,59,Foul,Foul,FirstHalf,25.2,7.2,0.0,0.0,Successful
Tyrhys Dolan,Espanyol,3,59,Foul,Foul,FirstHalf,74.8,92.8,0.0,0.0,Unsuccessful
Bernardo Silva,Real Madrid,4,24,Long Pass,Pass,FirstHalf,22.1,8.4,31.8,91.0,Successful
Jude Bellingham,Real Madrid,4,27,Pass,Pass,FirstHalf,31.8,91.0,21.8,90.9,Successful
Álvaro Carreras,Real Madrid,4,29,Pass,Pass,FirstHalf,21.8,90.9,29.3,95.8,Successful
Jude Bellingham,Real Madrid,4,33,Long Pass,Pass,FirstHalf,30.4,81.9,47.1,3.9,Successful
Denzel Dumfries,Real Madrid,4,36,Pass,Pass,FirstHalf,47.1,3.9,40.2,15.0,Successful
Bernardo Silva,Real Madrid,4,41,Pass,Pass,FirstHalf,38.3,21.9,45.7,18.0,Successful
Arda Güler,Real Madrid,4,42,Pass,Pass,FirstHalf,45.7,18.0,36.2,17.7,Successful
Bernardo Silva,Real Madrid,4,44,Pass,Pass,FirstHalf,35.7,23.2,29.2,66.3,Successful
Dean Huijsen,Real Madrid,4,50,Pass,Pass,FirstHalf,34.0,63.6,32.5,36.3,Successful
Ibrahima Konaté,Real Madrid,4,54,Pass,Pass,FirstHalf,36.4,42.3,37.4,60.1,Successful
Dean Huijsen,Real Madrid,4,57,Pass,Pass,FirstHalf,37.3,61.3,38.4,82.2,Successful
Álvaro Carreras,Real Madrid,4,59,Pass,Pass,FirstHalf,39.0,83.1,43.7,95.7,Successful
Jude Bellingham,Real Madrid,5,1,Pass,Pass,FirstHalf,43.6,95.7,39.0,85.3,Successful
Álvaro Carreras,Real Madrid,5,4,Pass,Pass,FirstHalf,39.2,84.3,34.4,55.8,Successful
Dean Huijsen,Real Madrid,5,8,Pass,Pass,FirstHalf,34.4,55.8,35.8,30.7,Successful
Ibrahima Konaté,Real Madrid,5,11,Pass,Pass,FirstHalf,40.9,28.3,59.8,27.3,Successful
Arda Güler,Real Madrid,5,14,Unsuccessful Dribble,TakeOn,FirstHalf,43.2,41.6,0.0,0.0,Unsuccessful
Roberto Fernández,Espanyol,5,14,Successful Tackle,Tackle,FirstHalf,56.8,58.4,0.0,0.0,Successful
Roger Hinojo,Espanyol,5,19,Ball Recovery,BallRecovery,FirstHalf,30.0,84.6,0.0,0.0,Successful
Roger Hinojo,Espanyol,5,21,Pass,Pass,FirstHalf,19.6,83.4,15.9,71.2,Successful
