player,team,minute,second,event,raw_event,period,x,y,endX,endY,outcome
,France,0,0,Start,Start,FirstHalf,0.0,0.0,0.0,0.0,Successful
,England,0,0,Start,Start,FirstHalf,0.0,0.0,0.0,0.0,Successful
Rayan Cherki,France,0,0,Long Pass,Pass,FirstHalf,49.9,49.7,77.9,0.0,Unsuccessful
Djed Spence,England,0,6,Throw In,Pass,FirstHalf,19.7,100.0,10.4,91.4,Successful
Marc Guéhi,England,0,9,Pass,Pass,FirstHalf,13.3,90.3,15.6,74.2,Successful
Declan Rice,England,0,11,Pass,Pass,FirstHalf,14.3,80.9,10.4,91.1,Successful
Marc Guéhi,England,0,13,Pass,Pass,FirstHalf,12.5,91.7,3.4,68.5,Successful
Dean Henderson,England,0,17,Pass,Pass,FirstHalf,4.4,64.8,7.2,84.2,Successful
Marc Guéhi,England,0,19,Pass,Pass,FirstHalf,6.8,82.3,19.7,96.3,Successful
Djed Spence,England,0,23,Pass,Pass,FirstHalf,21.1,95.4,9.3,81.1,Successful
Marc Guéhi,England,0,30,Pass,Pass,FirstHalf,20.4,68.1,28.5,33.6,Successful
Eberechi Eze,England,0,33,Pass,Pass,FirstHalf,29.8,23.3,29.6,4.3,Successful
Jarell Quansah,England,0,36,Pass,Pass,FirstHalf,29.6,4.3,11.7,15.9,Successful
Ezri Konsa,England,0,38,Pass,Pass,FirstHalf,11.7,15.9,3.9,40.1,Successful
Dean Henderson,England,0,41,Pass,Pass,FirstHalf,5.0,43.1,24.1,72.9,Successful
Djed Spence,England,0,48,Pass,Pass,FirstHalf,46.3,81.2,60.4,96.3,Successful
Marcus Rashford,England,0,52,Unsuccessful Dribble,TakeOn,FirstHalf,69.0,82.0,0.0,0.0,Unsuccessful
Michael Olise,France,0,52,Was Dribbled,Tackle,FirstHalf,31.0,18.0,0.0,0.0,Unsuccessful
Marcus Rashford,England,0,52,BallTouch,BallTouch,FirstHalf,70.3,83.5,0.0,0.0,Successful
Michael Olise,France,0,53,BallTouch,BallTouch,FirstHalf,33.0,22.1,0.0,0.0,Successful
Malo Gusto,France,0,54,BallTouch,BallTouch,FirstHalf,33.0,23.2,0.0,0.0,Unsuccessful
Marcus Rashford,England,0,56,Pass,Pass,FirstHalf,70.4,86.5,65.7,96.2,Successful
Djed Spence,England,1,1,Pass,Pass,FirstHalf,61.7,95.4,60.5,83.2,Successful
Declan Rice,England,1,5,Pass,Pass,FirstHalf,58.7,71.8,53.3,43.3,Successful
Ezri Konsa,England,1,7,Pass,Pass,FirstHalf,53.2,40.0,54.0,22.2,Successful
Jarell Quansah,England,1,12,Pass,Pass,FirstHalf,54.0,22.2,45.8,35.7,Successful
Ezri Konsa,England,1,16,Pass,Pass,FirstHalf,53.7,34.2,66.4,43.6,Successful
Morgan Rogers,England,1,18,Pass,Pass,FirstHalf,65.6,43.1,66.4,62.6,Successful
Eberechi Eze,England,1,24,Pass,Pass,FirstHalf,69.5,70.8,81.9,90.5,Successful
Marcus Rashford,England,1,29,Cross,Pass,FirstHalf,78.0,82.1,90.7,53.9,Unsuccessful
Maxence Lacroix,France,1,32,Aerial Won,Aerial,FirstHalf,9.3,46.1,0.0,0.0,Successful
Ivan Toney,England,1,32,Aerial Lost,Aerial,FirstHalf,90.7,53.9,0.0,0.0,Unsuccessful
Maxence Lacroix,France,1,32,Clearance,Clearance,FirstHalf,9.3,46.1,14.0,73.8,Successful
Théo Hernández,France,1,35,Ball Recovery,BallRecovery,FirstHalf,13.3,80.0,0.0,0.0,Successful
Théo Hernández,France,1,37,Pass,Pass,FirstHalf,16.2,90.6,15.5,86.4,Successful
Adrien Rabiot,France,1,39,Pass,Pass,FirstHalf,15.8,87.8,14.9,93.0,Successful
Théo Hernández,France,1,40,Pass,Pass,FirstHalf,14.7,93.3,23.4,93.9,Successful
Désiré Doué,France,1,43,Pass,Pass,FirstHalf,23.5,93.9,20.2,94.2,Successful
Théo Hernández,France,1,45,Long Pass,Pass,FirstHalf,18.0,94.2,19.5,94.2,Unsuccessful
Bukayo Saka,England,1,45,BlockedPass,BlockedPass,FirstHalf,80.5,5.8,0.0,0.0,Successful
Théo Hernández,France,2,3,Throw In,Pass,FirstHalf,6.2,100.0,23.3,93.9,Successful
Adrien Rabiot,France,2,6,Pass,Pass,FirstHalf,23.3,93.9,36.1,78.8,Successful
Désiré Doué,France,2,10,Pass,Pass,FirstHalf,36.1,74.2,43.3,34.0,Unsuccessful
Declan Rice,England,2,11,Interception,Interception,FirstHalf,56.7,66.0,0.0,0.0,Successful
Declan Rice,England,2,12,Ball Recovery,BallRecovery,FirstHalf,60.0,73.6,0.0,0.0,Successful
Declan Rice,England,2,14,Goal,Goal,FirstHalf,78.3,64.4,0.0,0.0,Successful
Kylian Mbappé,France,3,17,Pass,Pass,FirstHalf,50.4,50.0,39.8,57.0,Successful
Adrien Rabiot,France,3,21,Pass,Pass,FirstHalf,43.2,66.7,59.0,82.8,Successful
Désiré Doué,France,3,27,Foul,Foul,FirstHalf,59.8,82.9,0.0,0.0,Successful
Jarell Quansah,England,3,27,Foul,Foul,FirstHalf,40.2,17.1,0.0,0.0,Unsuccessful
Kylian Mbappé,France,3,37,Pass,Pass,FirstHalf,61.1,86.3,59.1,80.3,Successful
Rayan Cherki,France,3,38,Pass,Pass,FirstHalf,64.2,75.3,65.3,79.7,Successful
Kylian Mbappé,France,3,38,Pass,Pass,FirstHalf,65.3,79.7,57.7,68.3,Successful
Rayan Cherki,France,3,40,Pass,Pass,FirstHalf,55.1,61.9,44.8,40.9,Successful
Ibrahima Konaté,France,3,43,Pass,Pass,FirstHalf,40.3,30.5,51.8,9.4,Successful
Malo Gusto,France,3,45,Pass,Pass,FirstHalf,51.9,9.1,43.0,20.1,Successful
Ibrahima Konaté,France,3,46,Pass,Pass,FirstHalf,42.4,19.8,56.4,21.0,Successful
Warren Zaïre-Emery,France,3,49,Pass,Pass,FirstHalf,56.4,21.0,53.8,12.5,Successful
Malo Gusto,France,3,51,Pass,Pass,FirstHalf,59.5,12.2,46.4,13.9,Successful
Warren Zaïre-Emery,France,3,56,Pass,Pass,FirstHalf,46.3,13.7,40.7,28.3,Successful
Ibrahima Konaté,France,3,58,Pass,Pass,FirstHalf,39.8,28.8,54.2,41.5,Successful
Rayan Cherki,France,4,0,Pass,Pass,FirstHalf,54.2,41.9,42.6,37.8,Successful
Ibrahima Konaté,France,4,3,Pass,Pass,FirstHalf,44.5,40.9,44.9,59.5,Successful
Adrien Rabiot,France,4,7,Chipped Pass,Pass,FirstHalf,51.0,67.5,68.5,82.9,Successful
Désiré Doué,France,4,8,Pass,Pass,FirstHalf,68.7,83.5,62.3,89.6,Successful
Théo Hernández,France,4,11,Pass,Pass,FirstHalf,60.3,92.1,44.0,71.3,Successful
Maxence Lacroix,France,4,18,Pass,Pass,FirstHalf,43.6,67.5,38.3,52.0,Successful
Ibrahima Konaté,France,4,21,Pass,Pass,FirstHalf,39.3,58.1,54.3,75.8,Successful
Adrien Rabiot,France,4,23,Pass,Pass,FirstHalf,54.4,76.8,56.9,90.6,Successful
Désiré Doué,France,4,25,Pass,Pass,FirstHalf,57.2,92.9,65.2,92.1,Successful
Adrien Rabiot,France,4,31,Key Pass,Pass,FirstHalf,79.8,95.1,79.4,89.6,Successful
Kylian Mbappé,France,4,36,Shot on Target,SavedShot,FirstHalf,88.0,73.2,0.0,0.0,Successful
Declan Rice,England,4,36,Save,Save,FirstHalf,9.4,30.7,0.0,0.0,Successful
Kylian Mbappé,France,4,37,BallTouch,BallTouch,FirstHalf,87.8,74.2,0.0,0.0,Successful
Jarell Quansah,England,4,38,Ball Recovery,BallRecovery,FirstHalf,12.5,23.1,0.0,0.0,Successful
Jarell Quansah,England,4,38,Pass,Pass,FirstHalf,12.5,23.0,26.9,30.6,Unsuccessful
Théo Hernández,France,4,39,Interception,Interception,FirstHalf,73.1,69.4,0.0,0.0,Successful
Maxence Lacroix,France,4,40,Ball Recovery,BallRecovery,FirstHalf,69.1,81.9,0.0,0.0,Successful
Maxence Lacroix,France,4,41,Pass,Pass,FirstHalf,67.8,82.8,71.0,90.0,Successful
Adrien Rabiot,France,4,42,Pass,Pass,FirstHalf,71.6,91.9,59.5,92.1,Successful
Maxence Lacroix,France,4,44,Pass,Pass,FirstHalf,59.3,92.2,58.1,81.7,Successful
Théo Hernández,France,4,46,Pass,Pass,FirstHalf,59.8,76.5,55.9,68.9,Successful
Warren Zaïre-Emery,France,4,50,Through Ball,Pass,FirstHalf,60.3,62.0,95.7,59.6,Unsuccessful
Dean Henderson,England,4,55,Ball Recovery,BallRecovery,FirstHalf,9.3,40.4,0.0,0.0,Successful
Dean Henderson,England,4,58,Pass,Pass,FirstHalf,9.6,44.0,14.7,52.4,Successful
Declan Rice,England,4,58,Pass,Pass,FirstHalf,14.3,52.7,14.1,25.6,Successful
Ezri Konsa,England,5,5,Pass,Pass,FirstHalf,26.3,23.3,22.1,59.6,Successful
Marc Guéhi,England,5,12,Pass,Pass,FirstHalf,40.6,72.4,54.6,58.8,Successful
Ivan Toney,England,5,14,Pass,Pass,FirstHalf,54.5,58.8,46.7,43.6,Successful
Declan Rice,England,5,15,Pass,Pass,FirstHalf,47.9,40.6,55.9,8.5,Successful
Jarell Quansah,England,5,18,Pass,Pass,FirstHalf,55.6,6.8,53.3,26.8,Successful
Declan Rice,England,5,20,Pass,Pass,FirstHalf,53.9,25.0,50.4,10.6,Successful
Jarell Quansah,England,5,23,Pass,Pass,FirstHalf,50.8,10.6,61.3,26.7,Successful
Ivan Toney,England,5,24,Pass,Pass,FirstHalf,60.8,26.4,62.7,5.2,Successful
Morgan Rogers,England,5,26,Pass,Pass,FirstHalf,61.6,3.2,43.7,8.3,Successful
Jarell Quansah,England,5,28,Pass,Pass,FirstHalf,43.7,8.3,43.6,22.4,Successful
Declan Rice,England,5,29,Pass,Pass,FirstHalf,43.2,20.7,58.1,14.7,Successful
Ivan Toney,England,5,31,Pass,Pass,FirstHalf,61.1,19.7,59.2,31.8,Successful
Morgan Rogers,England,5,33,Through Ball,Pass,FirstHalf,61.9,32.2,75.1,31.9,Unsuccessful
Ibrahima Konaté,France,5,35,Ball Recovery,BallRecovery,FirstHalf,25.5,69.2,0.0,0.0,Successful
Ibrahima Konaté,France,5,36,Pass,Pass,FirstHalf,19.5,69.9,24.8,71.4,Unsuccessful
Ivan Toney,England,5,37,BallTouch,BallTouch,FirstHalf,70.2,29.4,0.0,0.0,Successful
Adrien Rabiot,France,5,37,Pass,Pass,FirstHalf,33.0,76.7,30.9,88.4,Successful
