player,team,minute,second,event,raw_event,period,x,y,endX,endY,outcome
,Genoa,0,0,Start,Start,FirstHalf,0.0,0.0,0.0,0.0,Successful
,Como,0,0,Start,Start,FirstHalf,0.0,0.0,0.0,0.0,Successful
Tasos Douvikas,Como,0,0,Pass,Pass,FirstHalf,50.0,50.0,55.7,50.4,Successful
Lucas da Cunha,Como,0,3,Pass,Pass,FirstHalf,53.7,46.5,63.9,6.9,Successful
Assane Diao,Como,0,9,Unsuccessful Dribble,TakeOn,FirstHalf,68.8,4.2,0.0,0.0,Unsuccessful
Mikael Ellertsson,Genoa,0,9,Successful Tackle,Tackle,FirstHalf,31.1,95.8,0.0,0.0,Successful
Yan Couto,Como,0,14,Long Pass,Pass,FirstHalf,58.0,0.0,38.2,10.9,Successful
Jacobo Ramón,Como,0,17,Pass,Pass,FirstHalf,37.8,11.2,38.5,35.5,Successful
Lucas da Cunha,Como,0,19,Pass,Pass,FirstHalf,38.5,36.6,53.0,41.7,Successful
Nico Paz,Como,0,21,Pass,Pass,FirstHalf,52.8,41.4,36.3,41.4,Successful
Lucas da Cunha,Como,0,22,Pass,Pass,FirstHalf,36.3,41.4,34.9,70.9,Successful
Trevoh Chalobah,Como,0,27,Pass,Pass,FirstHalf,34.9,70.9,44.3,90.6,Successful
Álex Valle,Como,0,30,Pass,Pass,FirstHalf,44.0,88.9,44.6,71.8,Successful
Lucas da Cunha,Como,0,32,Pass,Pass,FirstHalf,43.9,67.9,47.2,60.5,Successful
Nico Paz,Como,0,33,Pass,Pass,FirstHalf,49.1,58.5,42.4,90.1,Successful
Álex Valle,Como,0,36,Pass,Pass,FirstHalf,42.0,91.4,46.2,91.8,Unsuccessful
Stefano Sabelli,Genoa,0,37,Interception,Interception,FirstHalf,53.8,8.2,0.0,0.0,Successful
Álex Valle,Como,0,41,Throw In,Pass,FirstHalf,44.0,100.0,26.8,87.4,Successful
Trevoh Chalobah,Como,0,46,Pass,Pass,FirstHalf,26.8,87.4,26.0,65.8,Successful
Máximo Perrone,Como,0,47,Pass,Pass,FirstHalf,25.8,66.0,7.2,43.5,Successful
Jean Butez,Como,0,48,Pass,Pass,FirstHalf,7.2,43.5,14.8,16.9,Successful
Jacobo Ramón,Como,0,51,Pass,Pass,FirstHalf,14.7,16.8,25.5,6.3,Successful
Yan Couto,Como,0,53,Long Pass,Pass,FirstHalf,24.8,8.7,58.8,28.2,Successful
Nico Paz,Como,0,59,Pass,Pass,FirstHalf,62.2,62.1,76.9,84.4,Successful
Martin Baturina,Como,1,5,Key Pass,Pass,FirstHalf,78.9,72.3,93.1,34.2,Successful
Tasos Douvikas,Como,1,9,Shot on Target,SavedShot,FirstHalf,89.9,34.4,0.0,0.0,Successful
Mikael Ellertsson,Genoa,1,10,Save,Save,FirstHalf,8.1,63.6,0.0,0.0,Successful
Leo Østigård,Genoa,1,11,BallTouch,BallTouch,FirstHalf,7.1,60.5,0.0,0.0,Successful
Justin Bijlow,Genoa,1,13,KeeperPickup,KeeperPickup,FirstHalf,1.5,69.0,0.0,0.0,Successful
Justin Bijlow,Genoa,1,32,Pass,Pass,FirstHalf,6.7,45.1,12.1,25.0,Successful
Alessandro Marcandalli,Genoa,1,40,Long Pass,Pass,FirstHalf,25.4,19.2,64.7,10.3,Unsuccessful
Trevoh Chalobah,Como,1,44,Clearance,Clearance,FirstHalf,34.0,88.9,40.9,100.0,Successful
Stefano Sabelli,Genoa,1,56,Long Pass,Pass,FirstHalf,60.3,0.0,36.9,10.7,Successful
Alessandro Marcandalli,Genoa,1,59,Pass,Pass,FirstHalf,35.6,12.2,30.4,40.0,Successful
Leo Østigård,Genoa,2,1,Pass,Pass,FirstHalf,28.5,37.4,29.8,16.5,Successful
Alessandro Marcandalli,Genoa,2,6,Pass,Pass,FirstHalf,43.3,10.3,45.4,4.1,Successful
Stefano Sabelli,Genoa,2,9,Loss of Possession,Dispossessed,FirstHalf,53.9,5.5,0.0,0.0,Successful
Martin Baturina,Como,2,9,Successful Tackle,Tackle,FirstHalf,46.1,94.5,0.0,0.0,Successful
Álex Valle,Como,2,12,Ball Recovery,BallRecovery,FirstHalf,55.7,88.6,0.0,0.0,Successful
Álex Valle,Como,2,14,Unsuccessful Dribble,TakeOn,FirstHalf,62.6,91.2,0.0,0.0,Unsuccessful
Djibril Sow,Genoa,2,14,Successful Tackle,Tackle,FirstHalf,37.4,8.8,0.0,0.0,Successful
Álex Valle,Como,2,23,Throw In,Pass,FirstHalf,59.8,100.0,42.9,90.0,Successful
Máximo Perrone,Como,2,28,Pass,Pass,FirstHalf,38.8,51.9,32.9,45.0,Successful
Jacobo Ramón,Como,2,30,Pass,Pass,FirstHalf,33.9,46.2,37.7,49.3,Successful
Máximo Perrone,Como,2,33,Pass,Pass,FirstHalf,37.0,59.5,35.3,87.9,Successful
Trevoh Chalobah,Como,2,35,Pass,Pass,FirstHalf,34.6,88.5,47.2,83.4,Successful
Álex Valle,Como,2,37,Pass,Pass,FirstHalf,46.6,78.3,46.9,89.7,Successful
Martin Baturina,Como,2,39,Pass,Pass,FirstHalf,48.9,88.0,45.0,75.4,Successful
Máximo Perrone,Como,2,41,Pass,Pass,FirstHalf,46.2,66.2,47.7,60.9,Successful
Nico Paz,Como,2,43,Pass,Pass,FirstHalf,47.9,56.0,60.3,63.0,Successful
Lucas da Cunha,Como,2,45,Pass,Pass,FirstHalf,71.7,62.0,80.3,52.8,Unsuccessful
Leo Østigård,Genoa,2,46,Clearance,Clearance,FirstHalf,15.9,42.7,24.2,36.4,Successful
Morten Frendrup,Genoa,2,47,Pass,Pass,FirstHalf,24.2,36.4,4.1,40.9,Successful
Justin Bijlow,Genoa,2,50,Ball Recovery,BallRecovery,FirstHalf,2.6,38.8,0.0,0.0,Successful
Justin Bijlow,Genoa,2,50,Pass,Pass,FirstHalf,1.9,29.5,6.7,15.9,Successful
Alessandro Marcandalli,Genoa,2,52,Long Pass,Pass,FirstHalf,8.1,12.6,61.7,0.0,Unsuccessful
Álex Valle,Como,3,6,Throw In,Pass,FirstHalf,46.2,100.0,33.5,86.4,Successful
Trevoh Chalobah,Como,3,8,Pass,Pass,FirstHalf,30.4,85.9,39.3,75.9,Successful
Máximo Perrone,Como,3,9,Pass,Pass,FirstHalf,39.3,75.9,43.2,86.8,Successful
Álex Valle,Como,3,12,Pass,Pass,FirstHalf,41.4,81.1,48.0,62.8,Successful
Nico Paz,Como,3,14,Pass,Pass,FirstHalf,47.7,65.1,63.2,58.8,Successful
Tasos Douvikas,Como,3,16,Foul,Foul,FirstHalf,55.5,65.0,0.0,0.0,Successful
Leo Østigård,Genoa,3,16,Foul,Foul,FirstHalf,44.5,35.0,0.0,0.0,Unsuccessful
Máximo Perrone,Como,3,39,Pass,Pass,FirstHalf,54.0,57.5,45.2,33.3,Successful
Jacobo Ramón,Como,3,41,Pass,Pass,FirstHalf,44.9,38.8,46.6,15.6,Successful
Yan Couto,Como,3,44,Pass,Pass,FirstHalf,45.1,13.2,57.8,5.4,Successful
Assane Diao,Como,3,45,BallTouch,BallTouch,FirstHalf,57.8,5.4,0.0,0.0,Unsuccessful
Mikael Ellertsson,Genoa,3,46,Clearance,Clearance,FirstHalf,36.3,97.1,38.0,100.0,Successful
Yan Couto,Como,3,57,Throw In,Pass,FirstHalf,55.7,0.0,41.7,8.4,Successful
Jacobo Ramón,Como,3,59,Pass,Pass,FirstHalf,42.6,8.4,40.4,31.3,Successful
Máximo Perrone,Como,4,2,Pass,Pass,FirstHalf,38.4,37.5,40.3,70.2,Successful
Trevoh Chalobah,Como,4,4,Pass,Pass,FirstHalf,39.0,66.4,46.9,87.4,Successful
Lucas da Cunha,Como,4,7,Pass,Pass,FirstHalf,46.2,87.3,49.2,57.9,Successful
Máximo Perrone,Como,4,9,Pass,Pass,FirstHalf,48.9,68.1,46.3,87.3,Successful
Lucas da Cunha,Como,4,13,Pass,Pass,FirstHalf,45.5,78.3,34.0,68.2,Successful
Trevoh Chalobah,Como,4,16,Long Pass,Pass,FirstHalf,37.6,65.5,42.3,13.3,Successful
Yan Couto,Como,4,20,Pass,Pass,FirstHalf,44.0,9.0,53.6,2.7,Successful
Assane Diao,Como,4,22,Foul,Foul,FirstHalf,41.8,9.2,0.0,0.0,Successful
