player,team,minute,second,event,raw_event,period,x,y,endX,endY,outcome
,Napoli,0,0,Start,Start,FirstHalf,0.0,0.0,0.0,0.0,Successful
,Como,0,0,Start,Start,FirstHalf,0.0,0.0,0.0,0.0,Successful
Tasos Douvikas,Como,0,0,Pass,Pass,FirstHalf,49.7,50.2,29.8,51.1,Successful
Trevoh Chalobah,Como,0,3,Pass,Pass,FirstHalf,29.8,51.1,43.8,59.5,Successful
Lucas da Cunha,Como,0,7,Pass,Pass,FirstHalf,57.8,65.2,60.0,78.3,Successful
Álex Valle,Como,0,9,Long Pass,Pass,FirstHalf,61.2,75.6,85.8,44.5,Unsuccessful
Rafa Marín,Napoli,0,12,Aerial Won,Aerial,FirstHalf,14.2,55.5,0.0,0.0,Successful
Tasos Douvikas,Como,0,12,Aerial Lost,Aerial,FirstHalf,85.8,44.5,0.0,0.0,Unsuccessful
Rafa Marín,Napoli,0,12,Clearance,Clearance,FirstHalf,14.2,55.5,8.6,77.5,Successful
Mathías Olivera,Napoli,0,14,Ball Recovery,BallRecovery,FirstHalf,8.7,73.9,0.0,0.0,Successful
Mathías Olivera,Napoli,0,14,Pass,Pass,FirstHalf,8.7,73.9,26.5,78.1,Unsuccessful
Luis Milla,Como,0,17,Interception,Interception,FirstHalf,73.5,21.9,0.0,0.0,Successful
Luis Milla,Como,0,17,Pass,Pass,FirstHalf,85.1,8.8,84.2,12.4,Unsuccessful
Noa Lang,Napoli,0,17,BlockedPass,BlockedPass,FirstHalf,15.8,87.6,0.0,0.0,Successful
Noa Lang,Napoli,0,20,Pass,Pass,FirstHalf,9.4,89.7,9.9,79.6,Successful
Mathías Olivera,Napoli,0,22,Long Pass,Pass,FirstHalf,9.5,80.4,26.3,85.9,Unsuccessful
Yan Couto,Como,0,25,Pass,Pass,FirstHalf,65.9,5.1,51.7,13.3,Successful
Jacobo Ramón,Como,0,29,Pass,Pass,FirstHalf,53.6,23.8,50.4,54.1,Successful
Trevoh Chalobah,Como,0,31,Pass,Pass,FirstHalf,50.4,54.1,54.1,74.1,Successful
Martin Baturina,Como,0,33,Pass,Pass,FirstHalf,54.1,74.1,45.8,57.9,Successful
Trevoh Chalobah,Como,0,34,Pass,Pass,FirstHalf,42.5,55.6,40.7,34.9,Successful
Jacobo Ramón,Como,0,37,Pass,Pass,FirstHalf,41.0,34.5,43.8,35.8,Successful
Luis Milla,Como,0,39,Chipped Pass,Pass,FirstHalf,44.0,35.7,55.6,21.6,Unsuccessful
Noa Lang,Napoli,0,39,Pass,Pass,FirstHalf,41.4,69.9,54.8,65.7,Successful
Stanislav Lobotka,Napoli,0,41,Ball Recovery,BallRecovery,FirstHalf,54.6,66.1,0.0,0.0,Successful
Stanislav Lobotka,Napoli,0,41,Pass,Pass,FirstHalf,54.6,66.1,55.1,78.4,Successful
Noa Lang,Napoli,0,43,Unsuccessful Dribble,TakeOn,FirstHalf,59.8,90.6,0.0,0.0,Unsuccessful
Yan Couto,Como,0,43,Successful Tackle,Tackle,FirstHalf,40.2,9.4,0.0,0.0,Successful
Nico Paz,Como,0,46,Ball Recovery,BallRecovery,FirstHalf,36.9,4.2,0.0,0.0,Successful
Nico Paz,Como,0,46,Unsuccessful Dribble,TakeOn,FirstHalf,37.4,4.5,0.0,0.0,Unsuccessful
Mathías Olivera,Napoli,0,46,Was Dribbled,Tackle,FirstHalf,62.6,95.4,0.0,0.0,Unsuccessful
Yan Couto,Como,0,48,Pass,Pass,FirstHalf,32.8,7.6,35.6,6.4,Unsuccessful
Mathías Olivera,Napoli,0,48,BlockedPass,BlockedPass,FirstHalf,64.4,93.6,0.0,0.0,Successful
Yan Couto,Como,0,49,Pass,Pass,FirstHalf,35.6,6.4,39.5,7.0,Successful
Nico Paz,Como,0,50,Pass,Pass,FirstHalf,39.5,7.0,37.7,27.9,Successful
Assane Diao,Como,0,51,Pass,Pass,FirstHalf,37.7,27.9,39.3,32.5,Unsuccessful
Frank Anguissa,Napoli,0,51,BlockedPass,BlockedPass,FirstHalf,60.7,67.5,0.0,0.0,Successful
Jacobo Ramón,Como,0,54,Pass,Pass,FirstHalf,30.0,32.8,28.2,53.4,Successful
Trevoh Chalobah,Como,0,56,Pass,Pass,FirstHalf,28.8,58.5,37.8,84.1,Successful
Álex Valle,Como,1,0,Pass,Pass,FirstHalf,35.8,74.1,30.5,37.3,Successful
Jacobo Ramón,Como,1,3,Pass,Pass,FirstHalf,30.5,35.7,34.3,6.9,Successful
Yan Couto,Como,1,6,Pass,Pass,FirstHalf,34.8,7.6,22.7,30.4,Successful
Jacobo Ramón,Como,1,9,Pass,Pass,FirstHalf,23.5,31.9,24.8,65.7,Successful
Trevoh Chalobah,Como,1,11,Pass,Pass,FirstHalf,25.8,67.0,30.0,85.0,Successful
Lucas da Cunha,Como,1,13,Pass,Pass,FirstHalf,30.0,85.0,44.7,84.1,Successful
Álex Valle,Como,1,14,Pass,Pass,FirstHalf,44.7,84.1,38.8,94.3,Successful
Martin Baturina,Como,1,16,Pass,Pass,FirstHalf,41.4,91.2,45.4,73.3,Successful
Lucas da Cunha,Como,1,17,Pass,Pass,FirstHalf,45.4,73.3,39.3,73.8,Successful
Martin Baturina,Como,1,19,Pass,Pass,FirstHalf,42.9,65.4,43.3,35.2,Successful
Jacobo Ramón,Como,1,23,Pass,Pass,FirstHalf,47.3,33.6,64.9,29.2,Successful
Nico Paz,Como,1,25,Pass,Pass,FirstHalf,64.9,29.2,70.1,5.4,Successful
Assane Diao,Como,1,31,Pass,Pass,FirstHalf,74.8,9.9,65.6,17.8,Successful
Yan Couto,Como,1,32,Pass,Pass,FirstHalf,66.0,18.0,75.4,4.0,Successful
Assane Diao,Como,1,35,Pass,Pass,FirstHalf,75.5,4.0,75.0,15.6,Successful
Nico Paz,Como,1,37,Pass,Pass,FirstHalf,75.2,16.9,76.2,31.6,Successful
Martin Baturina,Como,1,38,Pass,Pass,FirstHalf,76.2,31.6,85.5,36.4,Successful
Tasos Douvikas,Como,1,40,Pass,Pass,FirstHalf,85.5,36.4,91.9,18.9,Successful
Assane Diao,Como,1,43,Cross,Pass,FirstHalf,91.9,19.9,93.1,69.4,Unsuccessful
Matteo Politano,Napoli,1,45,Clearance,Clearance,FirstHalf,6.7,29.5,6.0,0.0,Successful
Álex Valle,Como,2,3,Throw In,Pass,FirstHalf,87.4,100.0,78.0,95.4,Successful
Martin Baturina,Como,2,4,Pass,Pass,FirstHalf,78.0,95.4,79.5,95.4,Unsuccessful
Frank Anguissa,Napoli,2,4,BlockedPass,BlockedPass,FirstHalf,20.5,4.6,0.0,0.0,Successful
Álex Valle,Como,2,11,Throw In,Pass,FirstHalf,81.1,100.0,71.3,94.0,Successful
Lucas da Cunha,Como,2,13,Pass,Pass,FirstHalf,71.3,94.0,70.5,99.3,Successful
Álex Valle,Como,2,14,Pass,Pass,FirstHalf,70.5,99.3,54.3,97.0,Successful
Trevoh Chalobah,Como,2,16,Pass,Pass,FirstHalf,54.3,97.0,49.1,65.4,Successful
Jacobo Ramón,Como,2,17,Pass,Pass,FirstHalf,49.1,65.4,49.2,40.2,Successful
Yan Couto,Como,2,28,Pass,Pass,FirstHalf,59.3,28.9,56.7,34.8,Successful
Luis Milla,Como,2,29,Pass,Pass,FirstHalf,56.7,34.8,60.0,27.6,Successful
Yan Couto,Como,2,32,Pass,Pass,FirstHalf,61.9,24.7,47.2,35.5,Successful
Jacobo Ramón,Como,2,34,Pass,Pass,FirstHalf,47.2,35.5,45.5,60.3,Successful
Trevoh Chalobah,Como,2,37,Pass,Pass,FirstHalf,44.9,61.2,47.1,79.9,Successful
Lucas da Cunha,Como,2,41,Pass,Pass,FirstHalf,43.6,68.7,35.6,34.3,Successful
Jacobo Ramón,Como,2,44,Pass,Pass,FirstHalf,35.6,33.9,40.7,13.2,Successful
Yan Couto,Como,2,47,Pass,Pass,FirstHalf,40.7,13.2,63.2,3.7,Successful
