player,team,minute,second,event,raw_event,period,x,y,endX,endY,outcome
,PSG,0,0,Start,Start,FirstHalf,0.0,0.0,0.0,0.0,Successful
,Monaco,0,0,Start,Start,FirstHalf,0.0,0.0,0.0,0.0,Successful
Vitinha,PSG,0,0,Long Pass,Pass,FirstHalf,50.1,49.8,80.1,100.0,Unsuccessful
Vanderson,Monaco,0,13,Throw In,Pass,FirstHalf,21.3,0.0,12.2,8.3,Successful
Sadibou Sané,Monaco,0,14,Long Pass,Pass,FirstHalf,12.0,8.0,14.5,7.7,Unsuccessful
,Monaco,0,15,Foul,Foul,FirstHalf,16.0,8.0,0.0,0.0,Successful
Khvicha Kvaratskhelia,PSG,0,15,Foul,Foul,FirstHalf,84.0,92.0,0.0,0.0,Unsuccessful
Sadibou Sané,Monaco,0,36,Pass,Pass,FirstHalf,22.2,9.1,10.0,27.9,Successful
Lukás Hrádecky,Monaco,0,38,Pass,Pass,FirstHalf,8.2,28.0,10.7,74.3,Successful
Flávio Nazinho,Monaco,0,43,Pass,Pass,FirstHalf,21.2,90.9,49.0,83.8,Unsuccessful
João Neves,PSG,0,45,Ball Recovery,BallRecovery,FirstHalf,51.0,28.5,0.0,0.0,Successful
João Neves,PSG,0,46,Pass,Pass,FirstHalf,52.0,26.6,35.5,23.5,Successful
Marquinhos,PSG,0,49,Pass,Pass,FirstHalf,35.7,28.2,33.1,72.9,Successful
Warren Zaïre-Emery,PSG,0,54,Pass,Pass,FirstHalf,24.7,68.0,26.2,22.1,Successful
Marquinhos,PSG,0,58,Pass,Pass,FirstHalf,31.2,18.1,30.2,3.0,Successful
Achraf Hakimi,PSG,1,3,Pass,Pass,FirstHalf,24.7,4.5,3.9,32.0,Successful
Matvey Safonov,PSG,1,9,Pass,Pass,FirstHalf,7.3,24.9,9.8,3.3,Successful
Achraf Hakimi,PSG,1,12,Pass,Pass,FirstHalf,9.9,3.3,12.5,3.3,Unsuccessful
Stanis Idumbo,Monaco,1,12,BlockedPass,BlockedPass,FirstHalf,87.5,96.7,0.0,0.0,Successful
Matvey Safonov,PSG,1,41,Long Pass,Pass,FirstHalf,3.1,56.6,58.3,100.0,Unsuccessful
Vanderson,Monaco,1,56,Throw In,Pass,FirstHalf,36.7,0.0,22.4,5.4,Successful
Sadibou Sané,Monaco,1,59,Pass,Pass,FirstHalf,22.1,5.0,6.5,36.5,Successful
Lukás Hrádecky,Monaco,2,2,Pass,Pass,FirstHalf,6.5,36.5,14.0,34.1,Successful
Eric Dier,Monaco,2,6,Pass,Pass,FirstHalf,15.5,31.7,11.7,13.1,Successful
Sadibou Sané,Monaco,2,7,Pass,Pass,FirstHalf,13.9,14.1,37.6,22.7,Successful
Mamadou Coulibaly,Monaco,2,9,Chipped Pass,Pass,FirstHalf,41.5,22.4,55.2,5.9,Successful
Vanderson,Monaco,2,10,Pass,Pass,FirstHalf,56.1,5.0,58.1,11.2,Unsuccessful
Warren Zaïre-Emery,PSG,2,13,BallTouch,BallTouch,FirstHalf,41.2,82.0,0.0,0.0,Successful
Fabián Ruiz,PSG,2,14,Pass,Pass,FirstHalf,36.3,76.8,31.9,51.5,Successful
