player,team,minute,second,event,raw_event,period,x,y,endX,endY,outcome
,Real Madrid,0,0,Start,Start,FirstHalf,0.0,0.0,0.0,0.0,Successful
,PSG,0,0,Start,Start,FirstHalf,0.0,0.0,0.0,0.0,Successful
Arda Güler,Real Madrid,0,0,Pass,Pass,FirstHalf,50.0,50.0,26.1,52.1,Successful
Thibaut Courtois,Real Madrid,0,4,Long Pass,Pass,FirstHalf,28.1,52.1,64.3,17.7,Successful
Jude Bellingham,Real Madrid,0,8,Pass,Pass,FirstHalf,64.3,17.7,71.9,22.5,Unsuccessful
Beraldo,PSG,0,9,Interception,Interception,FirstHalf,28.0,69.4,0.0,0.0,Successful
Arda Güler,Real Madrid,0,11,Pass,Pass,FirstHalf,66.0,25.3,52.2,48.4,Successful
Antonio Rüdiger,Real Madrid,0,15,Long Pass,Pass,FirstHalf,53.8,49.6,78.7,21.2,Unsuccessful
Nuno Mendes,PSG,0,18,Pass,Pass,FirstHalf,21.6,76.1,7.5,48.7,Successful
Gianluigi Donnarumma,PSG,0,20,Ball Recovery,BallRecovery,FirstHalf,7.6,48.2,0.0,0.0,Successful
Gianluigi Donnarumma,PSG,0,22,Pass,Pass,FirstHalf,8.3,46.7,23.3,8.0,Successful
Achraf Hakimi,PSG,0,28,Pass,Pass,FirstHalf,27.4,7.7,12.9,28.6,Successful
Marquinhos,PSG,0,33,Pass,Pass,FirstHalf,24.1,35.8,22.5,63.7,Successful
Beraldo,PSG,0,35,Pass,Pass,FirstHalf,23.1,64.8,39.3,93.8,Successful
Nuno Mendes,PSG,0,39,Pass,Pass,FirstHalf,39.8,93.6,31.5,70.9,Successful
Beraldo,PSG,0,41,Pass,Pass,FirstHalf,31.5,70.9,27.3,37.6,Successful
Marquinhos,PSG,0,44,Pass,Pass,FirstHalf,26.2,37.9,8.6,50.7,Successful
Gianluigi Donnarumma,PSG,0,48,Pass,Pass,FirstHalf,8.7,49.7,7.9,18.2,Successful
Marquinhos,PSG,0,50,Pass,Pass,FirstHalf,8.0,17.6,18.3,6.2,Successful
Achraf Hakimi,PSG,0,52,Pass,Pass,FirstHalf,19.4,4.4,36.1,13.8,Successful
João Neves,PSG,0,54,Pass,Pass,FirstHalf,35.2,12.8,34.8,3.2,Successful
Achraf Hakimi,PSG,0,56,BallTouch,BallTouch,FirstHalf,34.8,3.2,0.0,0.0,Unsuccessful
Jude Bellingham,Real Madrid,0,57,Pass,Pass,FirstHalf,66.1,96.5,70.1,89.4,Successful
Kylian Mbappé,Real Madrid,0,58,Ball Recovery,BallRecovery,FirstHalf,70.2,89.4,0.0,0.0,Successful
Kylian Mbappé,Real Madrid,0,59,Pass,Pass,FirstHalf,70.2,89.4,71.6,74.4,Successful
Gonzalo García,Real Madrid,1,0,Pass,Pass,FirstHalf,72.7,69.7,78.1,58.2,Successful
Vinícius Júnior,Real Madrid,1,2,Pass,Pass,FirstHalf,76.8,56.3,87.2,15.8,Successful
Federico Valverde,Real Madrid,1,5,Pass,Pass,FirstHalf,86.7,15.3,78.7,30.0,Successful
Arda Güler,Real Madrid,1,7,Pass,Pass,FirstHalf,78.3,31.0,81.1,31.8,Unsuccessful
Khvicha Kvaratskhelia,PSG,1,7,BlockedPass,BlockedPass,FirstHalf,26.4,65.8,0.0,0.0,Successful
Aurélien Tchouaméni,Real Madrid,1,10,Shot on Target,SavedShot,FirstHalf,75.0,62.2,0.0,0.0,Successful
Ousmane Dembélé,PSG,1,11,Save,Save,FirstHalf,24.1,35.7,0.0,0.0,Successful
Aurélien Tchouaméni,Real Madrid,1,13,CornerAwarded,CornerAwarded,FirstHalf,75.4,61.1,0.0,0.0,Successful
Ousmane Dembélé,PSG,1,13,CornerAwarded,CornerAwarded,FirstHalf,24.6,38.9,0.0,0.0,Unsuccessful
Kylian Mbappé,Real Madrid,1,31,Pass,Pass,FirstHalf,99.5,99.5,97.6,90.9,Successful
Vinícius Júnior,Real Madrid,1,32,Pass,Pass,FirstHalf,96.2,89.1,86.2,77.6,Unsuccessful
Désiré Doué,PSG,1,35,Ball Recovery,BallRecovery,FirstHalf,20.6,18.2,0.0,0.0,Successful
Federico Valverde,Real Madrid,1,39,Challenge,Challenge,FirstHalf,52.2,88.9,0.0,0.0,Unsuccessful
Désiré Doué,PSG,1,39,Successful Dribble,TakeOn,FirstHalf,47.8,11.1,0.0,0.0,Successful
Désiré Doué,PSG,1,47,Pass,Pass,FirstHalf,67.4,5.2,61.6,7.3,Successful
Vitinha,PSG,1,49,Pass,Pass,FirstHalf,60.4,8.5,37.6,24.4,Successful
Marquinhos,PSG,1,52,Long Pass,Pass,FirstHalf,40.2,25.5,44.2,73.2,Successful
Nuno Mendes,PSG,1,55,Key Pass,Pass,FirstHalf,51.2,76.3,71.3,96.9,Successful
Khvicha Kvaratskhelia,PSG,2,1,Shot off Target,MissedShots,FirstHalf,93.0,69.9,0.0,0.0,Successful
Raúl Asencio,Real Madrid,2,30,Pass,Pass,FirstHalf,5.0,37.0,3.0,49.7,Successful
Thibaut Courtois,Real Madrid,2,33,Long Pass,Pass,FirstHalf,4.4,51.8,55.7,52.5,Unsuccessful
Beraldo,PSG,2,36,Aerial Won,Aerial,FirstHalf,42.0,44.9,0.0,0.0,Successful
Gonzalo García,Real Madrid,2,36,Aerial Lost,Aerial,FirstHalf,58.0,55.1,0.0,0.0,Unsuccessful
Beraldo,PSG,2,38,Clearance,Clearance,FirstHalf,38.3,40.4,56.0,43.0,Successful
Aurélien Tchouaméni,Real Madrid,2,38,Pass,Pass,FirstHalf,42.0,58.5,54.6,55.2,Successful
Gonzalo García,Real Madrid,2,39,BallTouch,BallTouch,FirstHalf,54.6,55.2,0.0,0.0,Unsuccessful
