player,team,minute,second,event,raw_event,period,x,y,endX,endY,outcome
,Spain,0,0,Start,Start,FirstHalf,0.0,0.0,0.0,0.0,Successful
,Portugal,0,0,Start,Start,FirstHalf,0.0,0.0,0.0,0.0,Successful
Mikel Oyarzabal,Spain,0,0,Pass,Pass,FirstHalf,50.1,50.0,37.9,53.6,Successful
Rodri,Spain,0,3,Pass,Pass,FirstHalf,42.2,50.7,31.0,37.0,Successful
Pau Cubarsí,Spain,0,5,Pass,Pass,FirstHalf,30.7,38.2,33.3,70.7,Successful
Aymeric Laporte,Spain,0,9,Pass,Pass,FirstHalf,30.9,69.0,30.5,44.2,Successful
Pau Cubarsí,Spain,0,13,Pass,Pass,FirstHalf,41.7,28.1,59.3,41.9,Successful
Mikel Oyarzabal,Spain,0,15,Pass,Pass,FirstHalf,59.3,41.9,51.6,54.3,Successful
Pedri,Spain,0,17,Pass,Pass,FirstHalf,51.0,54.2,30.1,32.9,Successful
Pau Cubarsí,Spain,0,20,Pass,Pass,FirstHalf,28.4,32.9,14.3,50.7,Successful
Unai Simón,Spain,0,26,Pass,Pass,FirstHalf,15.4,52.7,27.8,67.7,Successful
Pedri,Spain,0,28,Pass,Pass,FirstHalf,25.8,67.5,13.7,57.3,Successful
Unai Simón,Spain,0,30,Chipped Pass,Pass,FirstHalf,14.1,57.5,29.8,91.8,Unsuccessful
Pedro Neto,Portugal,0,33,Pass,Pass,FirstHalf,70.5,7.2,77.8,23.7,Successful
Cristiano Ronaldo,Portugal,0,34,Pass,Pass,FirstHalf,78.2,22.9,68.8,25.6,Successful
Rúben Dias,Portugal,0,37,Ball Recovery,BallRecovery,FirstHalf,66.8,22.9,0.0,0.0,Successful
Rúben Dias,Portugal,0,37,Pass,Pass,FirstHalf,66.8,22.3,76.6,2.7,Successful
Pedro Neto,Portugal,0,38,Long Pass,Pass,FirstHalf,71.1,9.0,100.0,17.4,Unsuccessful
Unai Simón,Spain,0,49,Pass,Pass,FirstHalf,2.7,54.8,9.3,29.3,Successful
Pau Cubarsí,Spain,0,58,Pass,Pass,FirstHalf,29.5,24.7,52.8,4.6,Successful
Lamine Yamal,Spain,1,1,Pass,Pass,FirstHalf,55.5,4.9,44.1,6.7,Successful
Pedro Porro,Spain,1,4,Pass,Pass,FirstHalf,42.9,6.8,32.1,22.9,Successful
Pau Cubarsí,Spain,1,13,Pass,Pass,FirstHalf,47.0,34.3,57.9,29.0,Successful
Pedri,Spain,1,15,Pass,Pass,FirstHalf,57.7,26.2,55.1,9.4,Successful
Pedro Porro,Spain,1,18,Pass,Pass,FirstHalf,54.2,8.5,40.0,13.4,Successful
Pau Cubarsí,Spain,1,21,Pass,Pass,FirstHalf,37.7,15.2,22.5,40.0,Successful
Unai Simón,Spain,1,23,Pass,Pass,FirstHalf,21.5,40.0,26.4,26.8,Successful
Pau Cubarsí,Spain,1,27,Pass,Pass,FirstHalf,31.2,24.8,47.0,4.4,Successful
Pedro Porro,Spain,1,29,Unsuccessful Dribble,TakeOn,FirstHalf,46.0,3.4,0.0,0.0,Unsuccessful
João Félix,Portugal,1,29,Was Dribbled,Tackle,FirstHalf,54.0,96.6,0.0,0.0,Unsuccessful
Pedro Porro,Spain,1,31,BallTouch,BallTouch,FirstHalf,46.4,4.1,0.0,0.0,Successful
João Félix,Portugal,1,32,Ball Recovery,BallRecovery,FirstHalf,59.8,96.3,0.0,0.0,Successful
João Félix,Portugal,1,32,Pass,Pass,FirstHalf,59.8,96.3,59.7,91.6,Successful
Bruno Fernandes,Portugal,1,33,Pass,Pass,FirstHalf,59.7,91.6,53.5,86.4,Successful
João Neves,Portugal,1,35,Foul,Foul,FirstHalf,54.7,84.5,0.0,0.0,Successful
Lamine Yamal,Spain,1,35,Foul,Foul,FirstHalf,45.3,15.6,0.0,0.0,Unsuccessful
João Neves,Portugal,1,49,Pass,Pass,FirstHalf,56.6,87.3,33.2,63.0,Successful
Renato Veiga,Portugal,1,51,Pass,Pass,FirstHalf,31.8,54.6,33.7,25.9,Successful
Rúben Dias,Portugal,1,53,Pass,Pass,FirstHalf,33.7,25.9,39.2,2.5,Successful
João Cancelo,Portugal,1,55,Pass,Pass,FirstHalf,39.2,2.5,58.3,2.8,Unsuccessful
Marc Cucurella,Spain,1,57,Ball Recovery,BallRecovery,FirstHalf,45.7,95.9,0.0,0.0,Successful
Marc Cucurella,Spain,1,58,Pass,Pass,FirstHalf,53.4,94.2,52.1,87.9,Successful
Pedri,Spain,2,4,Pass,Pass,FirstHalf,46.1,89.0,39.3,89.4,Successful
Aymeric Laporte,Spain,2,6,Pass,Pass,FirstHalf,40.1,84.6,54.1,71.9,Successful
Álex Baena,Spain,2,9,Long Pass,Pass,FirstHalf,55.0,67.1,79.7,3.1,Successful
Lamine Yamal,Spain,2,12,BallTouch,BallTouch,FirstHalf,79.7,3.1,0.0,0.0,Unsuccessful
Nuno Mendes,Portugal,2,28,Long Pass,Pass,FirstHalf,21.9,100.0,38.0,77.9,Unsuccessful
Rodri,Spain,2,30,Pass,Pass,FirstHalf,60.9,24.5,71.7,38.5,Unsuccessful
Vitinha,Portugal,2,32,Pass,Pass,FirstHalf,28.8,62.6,31.2,50.5,Unsuccessful
Álex Baena,Spain,2,33,Pass,Pass,FirstHalf,68.6,54.3,65.4,51.3,Successful
Pedri,Spain,2,34,Ball Recovery,BallRecovery,FirstHalf,65.3,51.3,0.0,0.0,Successful
Pedri,Spain,2,35,BallTouch,BallTouch,FirstHalf,64.7,57.0,0.0,0.0,Unsuccessful
Pedro Neto,Portugal,2,36,Pass,Pass,FirstHalf,35.6,36.2,38.9,39.3,Successful
Bruno Fernandes,Portugal,2,36,Pass,Pass,FirstHalf,46.8,36.0,36.9,42.4,Successful
Pedro Neto,Portugal,2,37,BallTouch,BallTouch,FirstHalf,38.5,41.5,0.0,0.0,Successful
Vitinha,Portugal,2,39,BallTouch,BallTouch,FirstHalf,36.9,42.4,0.0,0.0,Unsuccessful
Vitinha,Portugal,2,40,Error,Error,FirstHalf,35.5,44.7,0.0,0.0,Successful
Mikel Oyarzabal,Spain,2,42,Shot on Target,SavedShot,FirstHalf,75.7,62.0,0.0,0.0,Successful
Diogo Costa,Portugal,2,42,Save,Save,FirstHalf,1.6,50.5,0.0,0.0,Successful
Diogo Costa,Portugal,2,44,KeeperPickup,KeeperPickup,FirstHalf,1.6,50.5,0.0,0.0,Successful
Diogo Costa,Portugal,2,50,Pass,Pass,FirstHalf,10.1,52.6,9.8,64.2,Successful
Renato Veiga,Portugal,2,52,Pass,Pass,FirstHalf,9.8,67.5,22.8,97.3,Successful
Nuno Mendes,Portugal,2,54,Loss of Possession,Dispossessed,FirstHalf,22.0,94.3,0.0,0.0,Successful
Lamine Yamal,Spain,2,54,Successful Tackle,Tackle,FirstHalf,78.0,5.7,0.0,0.0,Successful
Lamine Yamal,Spain,2,56,Ball Recovery,BallRecovery,FirstHalf,86.7,10.6,0.0,0.0,Successful
Lamine Yamal,Spain,2,58,Pass,Pass,FirstHalf,91.9,18.4,86.5,48.7,Unsuccessful
Vitinha,Portugal,3,0,Ball Recovery,BallRecovery,FirstHalf,8.8,47.1,0.0,0.0,Successful
Vitinha,Portugal,3,2,Clearance,Clearance,FirstHalf,3.2,42.6,4.4,0.0,Successful
Marc Cucurella,Spain,3,8,Throw In,Pass,FirstHalf,88.8,100.0,95.2,96.0,Successful
Álex Baena,Spain,3,12,Cross,Pass,FirstHalf,89.4,94.4,84.8,60.0,Unsuccessful
João Neves,Portugal,3,14,Ball Recovery,BallRecovery,FirstHalf,13.6,40.3,0.0,0.0,Successful
João Neves,Portugal,3,14,Pass,Pass,FirstHalf,13.6,40.3,26.2,37.6,Successful
Bruno Fernandes,Portugal,3,16,BallTouch,BallTouch,FirstHalf,26.2,37.6,0.0,0.0,Unsuccessful
Rodri,Spain,3,16,Pass,Pass,FirstHalf,68.1,62.9,58.3,68.7,Successful
Aymeric Laporte,Spain,3,18,Ball Recovery,BallRecovery,FirstHalf,58.4,68.7,0.0,0.0,Successful
Aymeric Laporte,Spain,3,19,Pass,Pass,FirstHalf,58.7,68.9,60.8,62.3,Successful
Rodri,Spain,3,21,Pass,Pass,FirstHalf,57.6,61.8,51.5,40.7,Successful
Pau Cubarsí,Spain,3,24,Pass,Pass,FirstHalf,46.5,31.3,60.3,30.8,Successful
Lamine Yamal,Spain,3,32,Pass,Pass,FirstHalf,52.0,28.4,70.2,22.0,Unsuccessful
João Félix,Portugal,3,34,Ball Recovery,BallRecovery,FirstHalf,26.7,75.4,0.0,0.0,Successful
João Félix,Portugal,3,36,Pass,Pass,FirstHalf,33.6,76.5,25.5,67.2,Successful
Renato Veiga,Portugal,3,37,Pass,Pass,FirstHalf,25.5,67.2,29.7,51.4,Successful
Vitinha,Portugal,3,39,Pass,Pass,FirstHalf,29.8,53.7,28.6,79.2,Successful
João Neves,Portugal,3,45,Pass,Pass,FirstHalf,28.2,75.4,26.2,33.1,Successful
Rúben Dias,Portugal,3,47,Pass,Pass,FirstHalf,26.2,33.1,41.9,2.1,Successful
João Cancelo,Portugal,3,52,Pass,Pass,FirstHalf,56.0,4.2,35.0,10.9,Successful
Rúben Dias,Portugal,3,56,Pass,Pass,FirstHalf,37.1,31.9,29.2,64.2,Successful
Renato Veiga,Portugal,4,2,Pass,Pass,FirstHalf,28.6,60.4,30.8,26.8,Successful
Rúben Dias,Portugal,4,5,Long Pass,Pass,FirstHalf,36.1,32.8,77.2,96.9,Successful
Nuno Mendes,Portugal,4,10,BallTouch,BallTouch,FirstHalf,77.6,96.4,0.0,0.0,Unsuccessful
Pedro Porro,Spain,4,27,Throw In,Pass,FirstHalf,15.8,0.0,22.9,14.0,Successful
Dani Olmo,Spain,4,29,Pass,Pass,FirstHalf,21.8,13.1,5.5,25.1,Successful
Pau Cubarsí,Spain,4,34,Chipped Pass,Pass,FirstHalf,5.0,17.6,32.4,8.6,Successful
Mikel Oyarzabal,Spain,4,38,BallTouch,BallTouch,FirstHalf,32.4,8.6,0.0,0.0,Unsuccessful
